,stemmedComment
1547,"['mikir', 'dikit', 'kenapa', 'maksud', 'ingin', 'tunjuk', 'bukti', 'kepada', 'masyarakat', 'bahwa', 'uang', 'negara', 'sedang', 'kacau', 'sehingga', 'anggar', 'bencana', 'tidak', 'ada', 'makanya', 'enggak', 'berani', 'naikin', 'jadi', 'bencana', 'nasional', 'bukan', 'larang', 'daerah', 'untuk', 'bantu', 'tapi', 'tunjuk', 'tidak', 'becus', 'perintah', 'pusat', 'dan', 'untuk', 'masyarakat', 'ntb', 'jangan', 'takut', 'masyarakat', 'daerah', 'lain', 'selalu', 'siap', 'bantu', 'mampu', 'mereka']"
1548,"['mari', 'kita', 'laku', 'dengan', 'tulus', 'hati', 'moga', 'daerah', 'kalau', 'beri', 'dari', 'batas', 'adalah', 'berkat', 'buat', 'daerah', 'ntb', 'indonesia', 'jangan', 'hambat', 'daerah', 'beri', 'dengan', 'buat', 'status', 'perintah', 'pusat', 'lepas', 'tangan', 'semua', 'demi', 'baik', 'kami', 'dukung', 'status', 'atau', 'komentar', 'negatif', 'buat', 'duka', 'ntb', 'kami', 'tentang', 'tuhan', 'kati', 'ntb']"
1549,"['tmabha', 'merot', 'lu', 'fakri', 'ingat', 'akibat', 'juga', 'ke', 'anak', 'cucu', 'sembarang', 'saja', 'kalau', 'bicara']"
1550,"['mampu', 'pakri', 'ya', 'cuma', 'segitu']"
1551,"['ya', 'wajar', 'saja', 'mendagri', 'kok', 'ajak', 'empati', 'kepada', 'seluruh', 'kepada', 'seluruh', 'rakyat', 'saja', 'empati', 'kalo', 'masalah', 'sumber', 'dana', 'walau', 'imbau', 'dari', 'apbd', 'bisa', 'saja', 'enggak', 'pakai', 'apbd', 'serah', 'kpl', 'daerah', 'msing', 'fahri', 'otak', 'banget', 'wkl', 'ktua', 'dprri', 'bawa', 'sumbang', 'cepek', 'juta', 'doang', 'se', 'kali', 'doang', 'ekspose', 'lagi', 'ada', 'medsos', 'jadi', 'lah', 'manusia', 'kreatif', 'enggak', 'usah', 'nebak', 'duit', 'perintah', 'ada', 'tanggung', 'jawab', 'kok', 'bodoh', 'lu', 'ri']"
1552,"['nyinyir', 'lagi', 'surat', 'untuk', 'bantu', 'yang', 'susah', 'kok', 'dikomentarifahri', 'fahrimemuakkannyinyir', 'is', 'nyinyir']"
1553,"['nyata', 'musibah', 'masih', 'guna', 'bagai', 'senjata', 'politik', 'mentang', 'ada', 'perintah', 'pusat', 'perintah', 'daerah', 'lain', 'tidak', 'boleh', 'bantu', 'masyarakat', 'saja', 'tidak', 'meminta', 'sudah', 'ikut', 'turun', 'bantu', 'masyarakat', 'sudah', 'galang', 'dana', 'enggak', 'perlu', 'dia', 'kali', 'malah', 'enggak', 'yakin', 'dana', 'mau', 'mana', 'surat', 'seperti', 'itu', 'wajar', 'saja', 'mungkin', 'ada', 'pemda', 'yang', 'ragu', 'jika', 'bantu', 'akan', 'salah', 'dan', 'dengan', 'surat', 'itu', 'jika', 'ada', 'misinterprestasi', 'di', 'kemudian', 'hari', 'panggil', 'bpk', 'atau', 'kpk', 'gara', 'ini', 'landas', 'hukum', 'ya', 'surat', 'menteri', 'itu', 'dia', 'yang', 'tanggung', 'jawab']"
1554,"['pakri', 'huaak']"
1555,"['kalo', 'komen', 'yang', 'cerdasjgn', 'asal', 'untuk', 'guna', 'silpa', 'apd', 'musti', 'dapat', 'tuju', 'dari', 'dprd', 'duluhimbahauannya', 'bagus', 'tapi', 'praktek', 'cair', 'makan', 'waktukecuali', 'ambil', 'uang', 'dari', 'nenek', 'itu', 'saja', 'bisa', 'lapor', 'polisi', 'jika', 'nama', 'ambil', 'tidak', 'ijin']"
1556,"['ooooo', 'arti', 'lama', 'ini', 'perintah', 'pusat', 'enggak', 'mau', 'tetap', 'gempa', 'ntb', 'bagai', 'bencana', 'nasional', 'karena', 'enggak', 'ada', 'duit', 'coba', 'jelasin', 'dong']"
1557,"['surat', 'buat', 'saling', 'bantu', 'saja', 'masih', 'anggap', 'salah', 'memang', 'enggak', 'ada', 'positif', 'thinkingnya', 'nih', 'orang']"
1558,"['malu', 'sekali', 'benar', 'deh', 'baru', 'kali', 'ini', 'perintah', 'pusat', 'ngemis', 'ke', 'daerah', 'apa', 'pusat', 'sudah', 'enggak', 'punya', 'duit', 'lagi', 'untuk', 'tanggulang', 'bencana', 'kemana', 'apbn', 'anggar', 'apa', 'semua', 'anggar', 'untuk', 'bayar', 'bunga', 'utang', 'yang', 'enggak', 'kontrol', 'apa', 'bencana', 'yang', 'timpa', 'rakyat', 'tidak', 'prioritas', 'lagi', 'negara', 'ini', 'sudah', 'ambang', 'hancur', 'kalo', 'tidak', 'kita', 'gantipresiden']"
1559,"['waduh', 'kalau', 'baca', 'surat', 'seperti', 'ini', 'mengapa', 'hingga', 'saat', 'ini', 'tidak', 'deklarasi', 'bancana', 'nasional', 'nyata', 'dana', 'tidak', 'adasedih', 'hayoo', 'semua', 'daerah', 'bantu', 'ntb']"
1560,"['tidk', 'usah', 'di', 'dengar', 'omong', 'fahri', 'tidak', 'ada', 'guna', 'buat', 'rakyat']"
1561,"['perintah', 'untuk', 'saling', 'bantudimana', 'buruk', 'kacung', 'fahri']"
1562,"['ntb', 'di', 'landa', 'musibah', 'jokowi', 'masih', 'mikirkan', 'citra', 'diri', 'dan', 'tidak', 'mau', 'nyata', 'itu', 'bencana', 'nasionalhadeeeuuhhhtepok', 'jidat']"
1563,"['perintah', 'pusat', 'siap', 'rpt', 'untuk', 'ntb', 'fahri', 'siapin', 'bibir', 'doang', 'padahal', 'itu', 'dapilnya']"
1564,"['loh', 'meminta', 'bantu', 'sama', 'kepala', 'daerah', 'di', 'indonesia', 'di', 'bikin', 'kontroversi', 'sih', 'pakai', 'surat', 'itu', 'jadi', 'resmi', 'jangan', 'cuman', 'di', 'mengomongkan', 'entar', 'bisa', 'urusanyg', 'beginian', 'ini', 'sih', 'fahri', 'jahat', 'banget', 'sesuai', 'dari', 'yang', 'bilang', 'pak', 'mahfud']"
1565,"['apa', 'enggak', 'baik', 'biaya', 'temu', 'imf', 'yang', 'kata', 'siap', 'biaya', 'sama', 'alih', 'saja', 'ke', 'ntb', 'toh', 'imf', 'pernah', 'bikin', 'kita', 'resesi']"
1566,"['wahhhh', 'orang', 'kalo', 'sudah', 'mabok', 'dan', 'gila', 'popularitas', 'dan', 'sanjung', 'yag', 'gin', 'sekarang', 'anjur', 'untuk', 'bantu', 'saudara', 'kita', 'yang', 'suasah', 'karena', 'gempa', 'anggap', 'salah', 'saya', 'sih', 'pikir', 'simple', 'saja', 'lebih', 'baik', 'sumbang', 'ke', 'saudara', 'kita', 'yang', 'kena', 'bencana', 'atau', 'rekayasa', 'untuk', 'korupsi', 'sisa', 'anggar', 'yang', 'tidak', 'terpakaidibelanjakan']"
1567,"['ini', 'sama', 'juga', 'ya', 'kayak', 'gaji', 'ke', 'pns']"
1568,"['hatihati', 'kalau', 'mereka', 'kuasa', 'antar', 'daerah', 'bukan', 'saudara', 'lagi', 'suruh', 'perang', 'antar', 'daerah', 'nanti', 'ada', 'bantu', 'senjata', 'asing', 'ke', 'masingmasing', 'daerah', 'dengan', 'kompensasi', 'buat', 'peraturanperaturan', 'khilafah']"
1569,"['maksud', 'para', 'karduser', 'bila', 'enggak', 'pakai', 'nyumbangsisa', 'anggar', 'bisa', 'pakai', 'bancakandikorupsi', 'padahal', 'bahasa', 'menteri', 'sudah', 'jelasbila', 'sisa', 'lebih', 'anggar', 'dan', 'bantu', 'sama', 'yang', 'butuh', 'itu', 'baik', 'bangetkebersamaan', 'dan', 'peduli']"
1570,"['pks', 'deh', 'bayar', 'sama', 'atau', 'belum', 'ya']"
1571,"['itu', 'adalah', 'seru', 'agar', 'daerah', 'lebih', 'punya', 'solidaritas', 'hadap', 'ntbdan', 'bukan', 'untuk', 'kayak', 'diri', 'kalo', 'fahri', 'enggak', 'suka', 'ya', 'deh', 'enggak', 'usah', 'citra', 'segalabantu', 'saja', 'dapilmu', 'sana']"
1572,"['misal', 'kita', 'ikut', 'komunitas', 'terus', 'ada', 'bencana', 'di', 'salah', 'satu', 'anggota', 'kalo', 'ketua', 'menghimbau', 'sumbang', 'untuk', 'saudara', 'yang', 'duka', 'itu', 'salah', 'mendagri', 'bagai', 'atas', 'semua', 'kepala', 'daerah', 'indonesia', 'menghimbau', 'kepada', 'kepala', 'daerah', 'untuk', 'ikut', 'nyumbang', 'ke', 'ntb', 'kok', 'di', 'ribut']"
1573,"['deh', 'enggak', 'punya', 'duit', 'ya', 'pak', 'makanya', 'kalau', 'utang', 'lihat', 'bisa', 'bayar', 'atau', 'enggak']"
1574,"['niat', 'mungkin', 'baik', 'tapi', 'bagai', 'aparatur', 'negara', 'tindak', 'pak', 'menteri', 'ini', 'salah', 'kaprah', 'rusak']"
1575,"['hahahahaha', 'dasar', 'rejim', 'hutang', 'dana', 'saja', 'enggak', 'ada', 'gilir', 'asi', 'gems', 'saja', 'sok', 'sok', 'an', 'jadi', 'satria', 'baja', 'hitam', 'padahal', 'satria', 'kayu', 'kibul']"
1576,"['kalo', 'sudah', 'status', 'saja', 'enggak', 'jelaspasti', 'orang', 'itu', 'nalar', 'nya', 'juga', 'pasti', 'enggak', 'jelaswkw', 'wkwkwk']"
1577,"['rezimlagi', 'bokek']"
1578,"['salah', 'apa', 'ya', 'meminta', 'tetangga', 'beri', 'bantu', 'dari', 'anggar', 'sisa', 'kenapa', 'mau', 'bantu', 'orang', 'ada', 'bikin', 'sulit', 'yapusat', 'juga', 'enggak', 'angkat', 'tangan', 'semuaotak', 'picil', 'bencana', 'saja', 'ada', 'politisasihati', 'nurani', 'yang', 'komen', 'nyinyir', 'sudah', 'mati', 'smuakalian', 'masuk', 'orang', 'yang', 'potong', 'rejekinya', 'para', 'korbaningat', 'itu', 'nyumbang', 'kagak', 'nyinyir', 'iya']"
1579,"['upara', 'karduser', 'tidak', 'nyumbang', 'malah', 'nyinyir', 'coba', 'baca', 'lagiklo', 'ada', 'sisa', 'arti', 'apa', 'arti', 'ajak', 'peduli', 'ke', 'sama', 'kalo', 'mampu', 'kalo', 'tidak', 'toh', 'enggak', 'ada', 'sangsi', 'loh', 'apa', 'perintah', 'enggak', 'ada', 'dana', 'bukti', 'bicara', 'yang', 'di', 'laku', 'perintah', 'kan', 'terus', 'tangan', 'bencana', 'dengan', 'bantu', 'jadi', 'arti', 'biar', 'ada', 'sinergy', 'antara', 'pusat', 'dan', 'daerah', 'lainuntuk', 'peduli', 'ke', 'sama', 'rasa', 'satu', 'keluarga', 'bangsa', 'indonesia']"
1580,"['terus', 'bantu', 'lu', 'buat', 'bencana', 'apa', 'tongnyinyiran', 'bukan', 'bantu', 'tongcuma', 'meng', 'olok', 'korban', 'gempa', 'doang']"
1581,"['upara', 'karduser', 'tidak', 'nyumbang', 'malah', 'nyinyir', 'coba', 'baca', 'lagiklo', 'ada', 'sisa', 'arti', 'apa', 'arti', 'ajak', 'peduli', 'ke', 'sama', 'kalo', 'mampu', 'kalo', 'tidak', 'toh', 'enggak', 'ada', 'sangsi', 'loh', 'apa', 'perintah', 'enggak', 'ada', 'dana', 'bukti', 'bicara', 'yang', 'di', 'laku', 'perintah', 'kan', 'terus', 'tangan', 'bencana', 'dengan', 'bantu', 'jadi', 'arti', 'biar', 'ada', 'sinergy', 'antara', 'pusat', 'dan', 'daerah', 'lainuntuk', 'peduli', 'ke', 'sama', 'rasa', 'satu', 'keluarga', 'bangsa', 'indonesia']"
1582,"['wkwkw', 'kalo', 'deh', 'dengki', 'komentar', 'dan', 'serang', 'lihat', 'bodoh']"
1583,"['baik', 'langsung', 'di', 'panggil', 'saja', 'pak', 'kemendagri', 'agar', 'jelas', 'apakah', 'surat', 'ini', 'benar', 'atau', 'hoaksbila', 'benar', 'guna', 'hak', 'tanya', 'atau', 'angket', 'dpr', 'karena', 'yang', 'laku', 'mendagri', 'adalah', 'hal', 'yang', 'salah', 'walaupun', 'tuju', 'benar', 'tetapi', 'salah', 'dasar', 'konstitusi', 'uu', 'otonomi', 'daerah', 'mana', 'pusat', 'tidak', 'bisa', 'campur', 'uang', 'daerah', 'dan', 'saat', 'ini', 'bukan', 'ada', 'darurat', 'karena', 'perintah', 'tidak', 'keluar', 'ada', 'darurat', 'bencana', 'jadi', 'harus', 'hati']"
1584,"['rezim', 'dungu']"
1585,"['para', 'karduser', 'tidak', 'nyumbang', 'malah', 'nyinyir', 'coba', 'baca', 'lagiklo', 'ada', 'sisa', 'arti', 'apa', 'arti', 'ajak', 'peduli', 'ke', 'sama', 'kalo', 'mampu', 'kalo', 'tidak', 'toh', 'enggak', 'ada', 'sangsi', 'loh', 'apa', 'perintah', 'enggak', 'ada', 'dana', 'bukti', 'bicara', 'yang', 'di', 'laku', 'perintah', 'kan', 'terus', 'tangan', 'bencana', 'dengan', 'bantu', 'jadi', 'arti', 'biar', 'ada', 'sinergy', 'antara', 'pusat', 'dan', 'daerah', 'lainuntuk', 'peduli', 'ke', 'sama', 'rasa', 'satu', 'keluarga', 'bangsa', 'indonesia']"
1586,"['sabar', 'fahri', 'ini', 'lagi', 'di', 'carikan', 'hutang']"
1587,"['negara', 'bangkrut', 'gays']"
1588,"['kerja', 'nya', 'cuman', 'bisa', 'ngrecokin', 'pemerintahlalu', 'apa', 'sumbangsih', 'dia', 'meminta', 'di', 'kaplok', 'ini', 'orang']"
1589,"['perintah', 'pusat', 'akan', 'bantu', 'bencana', 'catat', 'ya', 'bencana', 'sudah', 'dengar', 'kan', 'rumah', 'akan', 'ganti', 'lalu', 'bantu', 'makan', 'dll', 'tanya', 'knapa', 'perlu', 'bantu', 'daerah', 'lain', 'kan', 'karena', 'perintah', 'pusat', 'tidak', 'dapat', 'membackup', 'seluruh', 'masalah', 'yang', 'timbul', 'hal', 'simple', 'ya', 'gaji', 'asn', 'rupa', 'wajib', 'daerah', 'dapat', 'dari', 'pad', 'pariwisata', 'ntb', 'down', 'otomatis', 'pad', 'jauh', 'dari', 'target', 'apa', 'perintah', 'perlu', 'membackup', 'seluruh', 'apbd', 'ntb', 'jadi', 'turut', 'saya', 'saja', 'bantu', 'enggak', 'ada', 'salah', 'karena', 'perintah', 'pusat', 'pasti', 'akan', 'tetap', 'backup', 'dana', 'bencana', 'nya']"
1590,"['bagaimana', 'nih', 'bilang', 'diri', 'bersihky', 'gin', 'enggak', 'pakai', 'prosedur', 'woi', 'itu', 'duit', 'rakyatseenak', 'enak', 'saja', 'bikin', 'srt', 'ganti', 'usut', 'tanggung', 'jawabnyaini', 'bukti', 'salah', 'urus']"
1591,"['biasa', 'bang', 'fahri', 'slogan', 'kerjax', 'itu', 'cuma', 'lip', 'service', 'saja', 'dari', 'rezim', 'ini', 'orang', 'lain', 'yang', 'suruh', 'kerja', 'nanti', 'kalo', 'hasil', 'bisa', 'dklaim', 'kalo', 'tidak', 'hasil', 'sudah', 'siap', 'itu', 'kambing', 'hitam', 'untuk', 'sembelih']"
1592,"['sudah', 'tambah', 'hutang', 'trilyun', 'lama', 'tahun', 'masa', 'tak', 'ada', 'duit', 'untuk', 'bencana', 'gempa']"
1593,"['bantu', 'salah', 'enggak', 'bantu', 'salah', 'fahrifahrimendagri', 'ajak', 'pemda', 'untuk', 'gotong', 'royong', 'bantu', 'saudara', 'bangsa', 'dimasalahin', 'itu', 'kan', 'lepas', 'dari', 'dana', 'bantu', 'pusat', 'apa', 'salah', 'dana', 'bantu', 'pusat', 'sudah', 'salur', 'dari', 'awal', 'baik', 'untuk', 'bangun', 'kembali', 'rumah', 'yang', 'rusak', 'atau', 'beri', 'kepada', 'korban', 'jiwa', 'kalo', 'anda', 'mampu', 'bangun', 'lagi', 'lombok', 'sendiri', 'silah', 'saja']"
1594,"['suatu', 'terobos', 'dalam', 'tanggulang', 'bencana', 'dan', 'saat', 'tanggap', 'darurat', 'silpa', 'juga', 'harus', 'kembali', 'saat', 'akhir', 'tahun', 'anggar', 'dipakai', 'dulu', 'nanti', 'bisa', 'ambil', 'dari', 'pos', 'depsos', 'mata', 'anggar', 'tanggulang', 'bencana']"
1595,"['bubar', 'saja', 'perintah', 'pusat', 'kalo', 'bencana', 'gempa', 'saja', 'tak', 'mampu', 'atas']"
1596,"['lah', 'benar', 'lah', 'daerah', 'yang', 'tidak', 'kena', 'bencana', 'bantu', 'daerah', 'yang', 'kena', 'musibah', 'salah', 'nya', 'ada', 'mana', 'ysalah', 'nya', 'orang', 'yang', 'jadi', 'anda', 'bagai', 'wakil', 'kami', 'ada', 'dpr', 'ri']"
1597,"['ibarat', 'salah', 'satu', 'anak', 'sakit', 'tapi', 'duit', 'bapak', 'sudah', 'habis', 'buat', 'foya', 'dan', 'gaya', 'suruh', 'anak', 'lain', 'patungan', 'buat', 'obat', 'saudaranyaseperti', 'bapak', 'yang', 'enggak', 'tanggung', 'jawab', 'dan', 'anggap', 'remeh', 'sakit', 'anaknyabilang', 'sudah', 'sakit', 'biasa', 'saja', 'itu', 'nanti', 'tamu', 'enggak', 'mau', 'datang', 'kasih', 'bapak', 'duit', 'loh', 'lihat', 'kamu', 'sakit', 'gitubener', 'parah']"
1598,"['kok', 'malah', 'meminta', 'kenclengan', 'kak', 'daerah', 'apakh', 'perintah', 'sudah', 'habis', 'dana', 'tanggap', 'darurat', 'kah', 'tggal', 'hutang', 'lagi', 'beres', 'kok']"
1599,"['duit', 'apbn', 'habis', 'buat', 'bayar', 'stuntman', 'citra', 'kasih', 'rakyat', 'ntb']"
1600,"['perintah', 'pusat', 'daya', 'upaya', 'segala', 'potensi', 'untuk', 'bantu', 'ntb', 'seluruh', 'lapis', 'masyarakat', 'juga', 'upaya', 'hal', 'itu', 'jadi', 'apa', 'yang', 'salah', 'fahri', 'ini', 'biang', 'ricuh', 'kalau', 'bantu', 'kurang', 'dia', 'juga', 'salak']"
1601,"['buat', 'bikin', 'video', 'dan', 'stuntman', 'pakde', 'saja', 'berani', 'kok', 'buat', 'rakyat', 'yang', 'kena', 'musibah', 'masih', 'ragu', 'ragu']"
1602,"['ya', 'begitu', 'deh', 'otak', 'negatif', 'melulu', 'yangbaguspundibalikjadijelek']"
1603,"['oalah', 'enggak', 'mau', 'jadikan', 'bencana', 'nasional', 'muter', 'alas', 'nyata', 'karena', 'enggak', 'punya', 'duitmalah', 'malah', 'gubernur', 'daerah', 'lain']"
1604,"['busyet', 'deh', 'profesionalitas', 'fahri', 'hamzah', 'ini', 'benar', 'perlu', 'tanya', 'dokumen', 'lembaga', 'negara', 'kok', 'umbar', 'lewat', 'medsos', 'parah', 'ini', 'jabat']"
1605,"['fh', 'dari', 'dapil', 'ntb', 'tapi', 'tidak', 'ada', 'sumbangsih', 'sama', 'sekali', 'hanya', 'protes', 'dan', 'nyinyir', 'saja', 'kerja', 'padahal', 'beliau', 'petinggi', 'di', 'dpr']"
1606,"['jawab', 'sudah', 'kenapa', 'gempa', 'lombok', 'tidak', 'nyata', 'status', 'bagai', 'bencana', 'nasional', 'perintah', 'pusat', 'bokek']"
1607,"['padahal', 'bantu', 'daerah', 'pilih', 'dia', 'juga', 'di', 'suruh', 'bantu', 'salah', 'enggak', 'di', 'bantu', 'salah', 'diam', 'juga', 'salah', 'pokok', 'pokok', 'apa', 'salah', 'di', 'otak', 'diri', 'lama', 'lama', 'salah', 'salahansudah', 'bengkok', 'dari', 'awal', 'enggak', 'sadar']"
1608,"['dana', 'pusat', 'habis', 'buat', 'tol', 'untuk', 'balik', 'mudik', 'telah', 'gp']"
1609,"['pak', 'fahripak', 'fahrikalau', 'hati', 'sudah', 'gelap', 'yang', 'terang', 'bilang', 'gelapfungsi', 'perintah', 'itu', 'salah', 'satu', 'mengelolaapa', 'yang', 'kelola', 'ya', 'semua', 'yang', 'ada', 'bawah', 'pemerintahannyakecuali', 'kita', 'mau', 'mengomong', 'pemda', 'adalah', 'institusi', 'pisah', 'yang', 'lepas', 'bebas', 'dari', 'perintah', 'pusat', 'kalo', 'benar', 'demikian', 'enggak', 'usah', 'ada', 'perintah', 'pusat', 'saja', 'jadi', 'dalam', 'hal', 'ini', 'yang', 'hendak', 'bangun', 'salah', 'satu', 'adalah', 'sama', 'dan', 'management', 'perintah', 'dalam', 'hal', 'ini', 'sudah', 'jalan', 'sesuai', 'kaidah', 'managemen', 'mbok', 'kalau', 'ada', 'yang', 'kurang', 'ya', 'disempurnakankrn', 'siapa', 'pimpin', 'nanti', 'tidak', 'ada', 'yang', 'sempurna']"
1610,"['tak', 'sekolah', 'kali', 'meminta', 'bantu', 'jak', 'ribut', 'kritik', 'jak', 'terus', 'ini', 'nih', 'yang', 'di', 'sebut', 'wakil', 'rakyat']"
1611,"['fahri', 'kampung', 'mu', 'itu', 'loh', 'yang', 'rusak', 'mikir']"
1612,"['seperti', 'segala', 'cara', 'yang', 'laku', 'perintah', 'selalu', 'salahhadeeuuuh', 'karepe', 'opo']"
1613,"['duit', 'perintah', 'pusat', 'mana', 'itu', 'tanya']"
1614,"['kita', 'harus', 'acung', 'jempol', 'pada', 'medagri', 'ajak', 'semua', 'komponen', 'bangsa', 'untuk', 'saling', 'bantu', 'sehingga', 'beban', 'perintah', 'atau', 'bangsa', 'ini', 'ringan', 'jangan', 'cuma', 'mengomong', 'doang', 'tidak', 'tidak', 'ada', 'apa', 'lagi', 'ini', 'untuk', 'bantu', 'saudara', 'bangsa', 'kita']"
1615,"['hal', 'seprti', 'ini', 'mengapai', 'di', 'bahas', 'buka', 'tidak', 'etis', 'banget', 'dalam', 'hal', 'bantu', 'bantu', 'kenapa', 'jadi', 'nilai', 'negatif', 'semua', 'di', 'jadi', 'bahan', 'politis']"
1616,"['kalau', 'ada', 'musibah', 'perintah', 'pusat', 'cuci', 'tangan', 'kalau', 'ada', 'citra', 'yang', 'bagus', 'seperti', 'ceremony', 'asi', 'games', 'kemarin', 'perintah', 'pusat', 'yang', 'dapat', 'nama']"
1617,"['manajemen', 'perintah', 'acak', 'adut']"
1618,"['ooo', 'pantesan', 'gempa', 'ntb', 'tidak', 'tetap', 'sebagai', 'bencana', 'nasional', 'nyata', 'enggak', 'ada', 'duit', 'lalu', 'mana', 'uang', 'tuh', 'masa', 'buat', 'acara', 'buka', 'asi', 'games']"
1619,"['bantu', 'bagus', 'dong', 'ada', 'lebih', 'ya', 'bantu', 'kenapa', 'kok', 'jadi', 'dimasalahin']"
1620,"['uang', 'ada', 'uang', 'ada', 'tinggal', 'kita', 'mau', 'kerja', 'tidak']"
1621,"['salah', 'dimana', 'ya', 'bahasa', 'kalau', 'ada', 'lebih', 'kan', 'dan', 'bantu', 'sama', 'itu', 'lebih', 'pahala', 'daripada', 'korupsi']"
1622,"['memang', 'fz', 'bisa', 'apa', 'ya', 'buat', 'saudara', 'kita', 'di', 'ntb']"
1623,"['seperti', 'fahri', 'hamsyong', 'kalau', 'suruh', 'iur', 'sulit', 'ngasihnya']"
1624,"['tanggap', 'darurat', 'nasional', 'sudah', 'habis', 'untuk', 'tol', 'batas', 'yang', 'enggak', 'tau', 'siapa', 'yang', 'bakal', 'lewat']"
1625,"['salah', 'dimana', 'yanamanya', 'membantudan', 'bahasa', 'kalau', 'ada', 'lebihdrpd', 'korupsi', 'kan', 'lebih', 'pahala', 'untuk', 'bantu', 'sama']"
1626,"['perintah', 'pusat', 'sudah', 'bangkrut']"
1627,"['bijak', 'yang', 'aneh']"
1628,"['ah', 'enggak', 'yakin', 'duit', 'saja', 'enggak', 'ada', 'sampai', 'ngemis', 'ke', 'daerah', 'mana', 'tanggung', 'jawab', 'perintah']"
1629,"['kalimat', 'halus', 'ya', 'pak']"
1630,"['gengsi', 'tetap', 'status', 'bencana', 'nasional', 'karena', 'unsur', 'politik', 'hidup', 'masyarakat', 'lombok', 'yang', 'korban']"
1631,"['masjid', 'juga', 'pak', 'jika']"
1632,"['uang', 'dari', 'mana', 'jangan', 'sampai', 'ngemis', 'pakai', 'apbd', 'daerah', 'lain']"
1633,"['bagai', 'ketua', 'dewan', 'masjid', 'indonesia', 'dmi', 'baik', 'bangun', 'masjid', 'dulu', 'baru', 'yang', 'lain']"
1634,"['ajak', 'salam', 'cuman', 'muka', 'jika', 'mana', 'tuh', 'angkuh', 'banget', 'lihat']"
1635,"['ketaqwaan', 'dan', 'iman', 'itu', 'tidak', 'akan', 'lalu', 'tanpa', 'uji', 'dari', 'allah', 'tetap', 'dalam', 'iman', 'tauhid', 'atau', 'malah', 'sekutu']"
1636,"['balik', 'dan', 'sembah', 'tuhan', 'umat', 'israel', 'tuhan', 'yang', 'maha', 'kuasa']"
1637,"['daerah', 'mana', 'bogor', 'min']"
1638,"['gempa', 'di', 'bogor', 'pusat', 'gempa', 'di', 'darat', 'tapi', 'kenapa', 'sebut', 'tidak', 'potensi', 'tsunami', 'nyata', 'enggak', 'relevan']"
1639,"['moga', 'rakyat', 'sabar', 'dan', 'tawqal', 'untuk', 'tambah', 'iman', 'semua', 'sudah', 'surat', 'dan', 'sirat', 'bagai', 'takdhir', 'yang', 'kita', 'imani']"
1640,"['biar', 'pada', 'melek', 'tuh', 'perintah', 'nya']"
1641,"['informasi', 'awal', 'ada', 'di', 'wilayah', 'dekat', 'labuh', 'ratu', 'lah', 'sini', 'kok', 'di', 'kab', 'bogor', 'yang', 'benar', 'yang', 'mana', 'ya']"
1642,"['innalillahi', 'wainnailaihi', 'rojiun']"
1643,"['upercaya', 'enggak', 'percaya', 'silah', 'sejak', 'ada', 'patung', 'getah', 'getih', 'ide', 'sang', 'gabener', 'gempa', 'makin', 'sering', 'jadi']"
1644,"['memang', 'bukan', 'bencana', 'nasional', 'ya', 'kasihanuddude']"
1645,"['di', 'lombok', 'banyak', 'orang', 'sholeh', 'dulu', 'di', 'juluk', 'kota', 'ribu', 'masjid', 'sekarang', 'perintah', 'mau', 'mau', 'jadi', 'seperti', 'bal', 'bisa', 'jadi', 'terguran', 'untuk', 'perintah', 'salah', 'pilih', 'pimpin']"
1646,"['gubernur', 'baru', 'pilih', 'saja', 'meminta', 'tetap', 'sebagai', 'bencana', 'nasional', 'karena', 'tangan', 'jauh', 'ini', 'enggak', 'maksimal', 'tgb', 'sekarang', 'sepertinya', 'bawa', 'penting', 'joko', 'bukan', 'lagi', 'penting', 'rakyat', 'ntb', 'miris', 'sekali', 'punya', 'pimpin', 'macam', 'ini', 'gantipresiden']"
1647,"['gin', 'deh', 'kalian', 'kalo', 'sudah', 'sini', 'baru', 'tau', 'kenapa', 'nih', 'musibah', 'harus', 'sebut', 'bencana', 'nasional', 'bukan', 'karena', 'lagi', 'asi', 'games', 'terus', 'warga', 'lombok', 'kalian', 'anggap', 'barang', 'itung', 'untung', 'rugi', 'saja', 'kalo', 'enggak', 'ikhlas', 'bantu', 'mending', 'enggak', 'usah']"
1648,"['yang', 'ribut', 'politikus', 'jakartatgb', 'saja', 'enggak', 'meributkan', 'istilah', 'bencana', 'nasional']"
1649,"['kemarin', 'situ', 'bilang', 'lombok', 'sudah', 'pulih', 'dari', 'bencana', 'kok', 'sekarang', 'beda', 'makanya', 'om', 'kalo', 'mengomong', 'di', 'ayak', 'dulujangan', 'dahulu', 'tuhankasian', 'situ', 'jadi', 'malu', 'sama', 'masyarakat', 'bencana', 'itu', 'tegur', 'supaya', 'kamu', 'introspeksi', 'masih', 'ada', 'waktu', 'untuk', 'taubatmasih', 'ada', 'waktu', 'untuk', 'kembali', 'jalan', 'yang', 'benar']"
1650,"['waduk', 'lah']"
