,stemmedComment
39,"['gila', 'nekat', 'juga', 'ulama', 'enggak', 'tau', 'di', 'usir', 'begitu', 'tapi', 'bagus', 'lah', 'ada', 'berani', 'dan', 'semua', 'juga', 'dengar', 'moga', 'banyak', 'ustad', 'lain', 'yang', 'tiru', 'hal', 'ini']"
40,"['tambah', 'tempat', 'mantap', 'sak', 'cewek', 'seksi', 'nyadan', 'yang', 'paling', 'penting', 'boleh', 'yang', 'enggak', 'tuju', 'pasti', 'ngiriweek']"
41,"['ajak', 'orang', 'laku', 'sholawat', 'di', 'tempat', 'ibadah', 'ya', 'sudah', 'pasti', 'mudah', 'tapi', 'ajak', 'orang', 'laku', 'sholawat', 'di', 'tempat', 'dugem', 'yang', 'penuh', 'coba', 'itu', 'sudah', 'jelas', 'pahala', 'nya', 'jauh', 'lebih', 'besar']"
42,"['apa', 'sih', 'yang', 'enggak', 'bisa', 'di', 'negeri', 'ini', 'semua', 'pada', 'bisa', 'sekarang']"
43,"['boleh', 'ya', 'sebar', 'agama', 'seperti', 'ini']"
44,"['hahahaha', 'lucu', 'lucu', 'biar', 'masuk', 'tipi', 'laah', 'hahaha']"
45,"['coba', 'lah', 'ustad', 'yang', 'lain', 'dakwah', 'di', 'nite', 'club', 'seperti', 'iti']"
46,"['yang', 'ini', 'malah', 'di', 'dukung', 'yang', 'di', 'sana', 'di', 'jaga', 'supaya', 'enggak', 'ceramah', 'apalagi', 'ini']"
47,"['ah', 'entah', 'satu', 'kau', 'maklum', 'yang', 'lain', 'ikut', 'tinggal', 'tunggu', 'saja']"
48,"['mau', 'ngikik', 'takut', 'dosa']"
49,"['kalau', 'mau', 'laku', 'ibadah', 'baik', 'dulu', 'tampil', 'jauh', 'miras', 'cari', 'tempat', 'yang', 'lebih', 'baik', 'lebih', 'baik', 'gus', 'kamu', 'ajak', 'para', 'wanita', 'itu', 'tutup', 'aurat']"
50,"['lokalisasi', 'harap', 'sadar']"
51,"['telah', 'selawat', 'selesai', 'acara', 'lanjut']"
52,"['bagus', 'lanjut']"
